"Job Title",experience_years,total_compensation
"Director Of Program","8 - 10 years",205000
"Director Of Property Management","8 - 10 years",45000
"Director Of Public Policy & Government Affairs","8 - 10 years",211600
"Director Of Research","8 - 10 years",194000
"Director Of Research & Market Strategy","8 - 10 years",226800
"Director Of Research & Strategy","8 - 10 years",300000
"Director Of Research And Strategy","8 - 10 years",248000
"Director Of Studies","8 - 10 years",25000
"Director Of Supply Chain","8 - 10 years",226000
"Director, Advertising Compliance And Forms Design","8 - 10 years",172000
"Director, Bunited Statesiness Strategy","8 - 10 years",320000
"Director, Career Services","8 - 10 years",55000
"Director, Data Management","8 - 10 years",264000
"Director, Initiative Management","8 - 10 years",307600
"Director, Medical Affairs","8 - 10 years",590000
"Director, Operational Performance ","8 - 10 years",264000
"Director, Program Implementation","8 - 10 years",230000
"Director, R&T","8 - 10 years",264000
Dispatcher,"8 - 10 years",113915
"District Manager","8 - 10 years",96500
"District Sales Manager","8 - 10 years",31800
"Diversity Manager","8 - 10 years",246000
"Division Assistant Administrator","8 - 10 years",192000
"Division Director","8 - 10 years",380000
"Doctor (Psychiatry Registrar)","8 - 10 years",329600
"Document Control","8 - 10 years",38000
"Dod Financial Analyst Consultant","8 - 10 years",180000
"Donor Relations Manager","8 - 10 years",164250
"E-Commerce Merchandising Specialist","8 - 10 years",186000
"E-Commerce Specialist","8 - 10 years",45000
"E-Learning Specialist","8 - 10 years",61200
Ea,"8 - 10 years",468000
"Ea To The Chief Development Officer","8 - 10 years",74000
"Ecomm Merchandiser","8 - 10 years",47000
"Ecommerce Marketing Director","8 - 10 years",218000
"Ecommerce Merchandiser ","8 - 10 years",53000
"Ediscovery Specialist","8 - 10 years",216000
Editor,"8 - 10 years",496000
"Editor At A Publishing Company","8 - 10 years",32000
"Editorial Assistant","8 - 10 years",24700
"Editorial Client Manager","8 - 10 years",56500
"Education Manager","8 - 10 years",68000
"Education Program Coordinator","8 - 10 years",75000
"Education Program Manager","8 - 10 years",265960
"Education Program Specialist","8 - 10 years",154000
Educator,"8 - 10 years",54500
"Ehr Analyst Senior","8 - 10 years",62000
"Ehs Analyst","8 - 10 years",70000
"Ehs Coordinator","8 - 10 years",62000
"Ehs Specialist Consultant","8 - 10 years",42000
"Ela Teacher","8 - 10 years",48000
"Elearning Content Developer","8 - 10 years",50000
"Elementary Art Teacher","8 - 10 years",60000
"Elementary Special Education Teacher","8 - 10 years",38600
"Email Marketing And Sms Specialist","8 - 10 years",30290
"Email Marketing Manager","8 - 10 years",335000
"Email Marketing Specialist","8 - 10 years",58000
"Email/Marketing Automation Technologist","8 - 10 years",190000
Embryologist,"8 - 10 years",65154
"Emergency Management Advisor","8 - 10 years",154000
"Employee Benefits Account Manager","8 - 10 years",55000
"Employment Services Specialist","8 - 10 years",95183
Emt,"8 - 10 years",37400
"Enablement Manager","8 - 10 years",156000
"Endoscopy It Manager","8 - 10 years",24907
"Engagement Coordinator","8 - 10 years",48000
"Engagement Manager","8 - 10 years",672000
"Engagement Strategist","8 - 10 years",490000
Engineer,"8 - 10 years",200000
"Engineer ","8 - 10 years",450000
"Engineering Geologist","8 - 10 years",158000
"Engineering Lead","8 - 10 years",341000
"Engineering Manager","8 - 10 years",772000
"English As A Second Language Teacher","8 - 10 years",18000
"English Editor","8 - 10 years",1634000
"Environmental Consultant","8 - 10 years",1460000
"Environmental Engineer","8 - 10 years",178920
"Environmental Health Specialist Ii","8 - 10 years",161782
"Environmental Health Specialist Iv","8 - 10 years",159438
"Environmental Health Technician","8 - 10 years",57000
"Environmental Investigator","8 - 10 years",52000
"Environmental Planner, Natural Sciences","8 - 10 years",68000
"Environmental Scientist","8 - 10 years",79000
"Epic Credentialed Trainer","8 - 10 years",170000
Epidemiologist,"8 - 10 years",70000
"Equity Coordinator","8 - 10 years",197000
"Esl Teacher","8 - 10 years",575000
"Evens & Social Media Coorindator","8 - 10 years",50000
"Event Coordinator","8 - 10 years",80000
"Event Implementation Specialist","8 - 10 years",60000
"Event Manager","8 - 10 years",129200
"Events & Marketing Manager","8 - 10 years",52000
"Events Coordinator ","8 - 10 years",50000
"Events Marketing Specialist","8 - 10 years",76500
"Exec Assistant","8 - 10 years",156000
"Executive Administrative Assistant","8 - 10 years",65000
"Executive And Hr Assistant","8 - 10 years",44450
"Executive Assisraeltant","8 - 10 years",40000
"Executive Assistant","8 - 10 years",1107583
"Executive Assistant ","8 - 10 years",564500
"Executive Assistant To Agency Head","8 - 10 years",168000
"Executive Assistant To The Dean For Research ","8 - 10 years",61500
"Executive Assistant To The Director","8 - 10 years",70000
"Executive Communications Manager","8 - 10 years",230000
"Executive Coordinator","8 - 10 years",58000
"Executive Director","8 - 10 years",169360
"Executive Director Home Health","8 - 10 years",222000
"Executive Officer","8 - 10 years",240000
"Executive Recruiter","8 - 10 years",272000
"Executive Search Associate/Consultant","8 - 10 years",185000
"Executive Secretary (Admin.)","8 - 10 years",52400
"Exercise Physiologist","8 - 10 years",38440
"Exhibit Developer","8 - 10 years",49000
"Exhibitions Coordinator","8 - 10 years",57000
"Exhibitions Manager","8 - 10 years",162000
"Experienced Senior Auditor","8 - 10 years",168000
"Fabricator ","8 - 10 years",170000
"Facilities Manager","8 - 10 years",242000
"Facilities Mechanical Engineer","8 - 10 years",256612
"Facility Lead","8 - 10 years",31300
"Facility Manager ","8 - 10 years",80000
"Factory Quality Specialist","8 - 10 years",69000
"Faculty Coordinator","8 - 10 years",65000
"Fellow ","8 - 10 years",41600
"Field Service Tech","8 - 10 years",70000
"Field Services Technician ","8 - 10 years",59920
"Finance & Contracts Coordinator","8 - 10 years",60320
"Finance & Hr Manager","8 - 10 years",63500
"Finance & Operations Associate","8 - 10 years",55300
"Finance And Administration Manager","8 - 10 years",42500
"Finance Assistant","8 - 10 years",45000
"Finance Director ","8 - 10 years",278000
"Finance Manager","8 - 10 years",790000
"Finance/Administrative Assistant","8 - 10 years",33320
"Financial Aid Counselor","8 - 10 years",91083
"Financial Aid Officer","8 - 10 years",41000
"Financial Analyst","8 - 10 years",235000
"Financial Analyst ","8 - 10 years",160000
"Financial Analyst Iii","8 - 10 years",201880
"Financial Data Specialist","8 - 10 years",57500
"Financial Management Analyst","8 - 10 years",210000
"Financial Officer","8 - 10 years",152000
"Financial Planner","8 - 10 years",90000
"Financial Services Associate","8 - 10 years",40480
"Financial Specialist","8 - 10 years",44096
"Financial Systems Analyst","8 - 10 years",230000
"Financial Systems Manager","8 - 10 years",236000
"First Officer","8 - 10 years",65000
"Fiscal Analyst","8 - 10 years",73000
"Fiscal Assistant","8 - 10 years",35000
"Fit Model","8 - 10 years",68000
"Foia Analyst","8 - 10 years",176000
"Food Technologist","8 - 10 years",192600
"Foreign Affairs Officer","8 - 10 years",228118
"Forensic Latent Print Analyst","8 - 10 years",47936
Founder,"8 - 10 years",480000
"Fp&A Manager","8 - 10 years",210000
"Fraud Analyst","8 - 10 years",55000
Freelance,"8 - 10 years",35000
"Freelance Content Writer","8 - 10 years",60000
"Freelance Copywriter","8 - 10 years",240000
"Freelance Marketing Consultant","8 - 10 years",60000
"Freelance Videographer ","8 - 10 years",220000
"Freelance Writer","8 - 10 years",43000
"Front Desk Agent","8 - 10 years",33800
"Front End Engineer ","8 - 10 years",8602
"Front End Software Engineer","8 - 10 years",240000
"Front Office Supervisor","8 - 10 years",49000
"Front Office Supervisor ","8 - 10 years",30000
"Frontend Software Engineer","8 - 10 years",180000
"Frontend Web Developer","8 - 10 years",89000
"Fuel Efficiency Program Analyst","8 - 10 years",152000
"Fulfillment Quality Specialist","8 - 10 years",67000
"Full Service Bookkeeper","8 - 10 years",150000
"Full Service Bookkeeper ","8 - 10 years",62500
"Function Developer ","8 - 10 years",176000
"Fundraising Coordinator","8 - 10 years",53000
"Fundraising Manager","8 - 10 years",65000
"Funeral Assistant","8 - 10 years",30534
"Game Designer","8 - 10 years",40000
"Games Specialist","8 - 10 years",2036
"Gardens Manager","8 - 10 years",39000
"General Engineer","8 - 10 years",204000
"General Manager","8 - 10 years",426700
"General Manager Of Fulfillment ","8 - 10 years",220000
"General Merchandise Buyer","8 - 10 years",43700
"Genetic Counselor","8 - 10 years",186000
"Geo Ops Lead","8 - 10 years",62000
"Geologist ","8 - 10 years",54000
"Geospatial Analyst","8 - 10 years",38550
"Geriatrician ","8 - 10 years",240000
"Gifts And Data Coordinator ","8 - 10 years",40000
"Gis (Geographic Information Systems) Manager","8 - 10 years",150000
"Gis Coordinator","8 - 10 years",156200
"Gis Programmer Analyst","8 - 10 years",292000
"Gis Specialist","8 - 10 years",75000
"Global Data Team Leader","8 - 10 years",189000
"Global Digital And Social Media Hr Manager ","8 - 10 years",150000
"Global Engagement Manager","8 - 10 years",55000
"Global Financial Crimes Director ","8 - 10 years",250000
"Global Mobility Program Manager","8 - 10 years",188000
"Global Payroll And Compensation Analyst","8 - 10 years",73600
"Gme Program Administrator","8 - 10 years",49000
"Governance And Administration Officer ","8 - 10 years",68816
"Government Relations Director","8 - 10 years",0
"Govt Counsel","8 - 10 years",156000
"Graduate Student","8 - 10 years",26000
"Graduate Studies Coordinator","8 - 10 years",38000
"Grant Coordinator","8 - 10 years",54000
"Grant Director","8 - 10 years",62000
"Grants Administrator","8 - 10 years",240924
"Grants Administrator ","8 - 10 years",170000
"Grants Coordinator","8 - 10 years",55000
"Grants Coordinator B","8 - 10 years",60320
"Grants Management Specialist","8 - 10 years",205760
"Grants Manager","8 - 10 years",140750
"Graphic Designer","8 - 10 years",562500
"Graphic Designer And Project Coordinator","8 - 10 years",33440
"Group Lead","8 - 10 years",240500
"Group Manager","8 - 10 years",196000
"Group Product Manager","8 - 10 years",596000
"Group Underwriter","8 - 10 years",77000
"Guest Services Manager","8 - 10 years",46000
"Haz Mat Coordinator","8 - 10 years",67200
"Head Clerk","8 - 10 years",42520
"Head Of Devops","8 - 10 years",256000
"Head Of Marketing","8 - 10 years",300000
"Head Of People","8 - 10 years",270000
"Head Of Statutory Reporting","8 - 10 years",40500
"Health And Wellness Promoter","8 - 10 years",70000
"Health Equity / Public Health Manager","8 - 10 years",158000
"Health Information Management Supervisor","8 - 10 years",51000
"Health Researcher","8 - 10 years",52200
"Heath Care Administration ","8 - 10 years",30000
"Help Desk Technician","8 - 10 years",45000
"High School English Teacher","8 - 10 years",84500
"High School Math Teacher","8 - 10 years",47400
"High School Teacher","8 - 10 years",97500
"Higher Executive Officer","8 - 10 years",50000
"History Teacher","8 - 10 years",56600
"Home Attendant Hha","8 - 10 years",32000
"Homeroom Teacher","8 - 10 years",85000
"Hospital Librarian","8 - 10 years",65188
"Hospital Social Worker","8 - 10 years",152000
"Hotel Sales Manager","8 - 10 years",66950
"Hounited Statese Manager","8 - 10 years",33000
Hr,"8 - 10 years",11200000
"Hr Admin","8 - 10 years",51000
"Hr Adviser","8 - 10 years",70659
"Hr Advisor","8 - 10 years",104500
"Hr Analyst","8 - 10 years",130000
"Hr And Compensation Analyst","8 - 10 years",160000
"Hr And Operations Manager","8 - 10 years",67500
"Hr Assistant ","8 - 10 years",33280
"Hr Bunited Statesiness Analyst","8 - 10 years",162800
"Hr Bunited Statesiness Partner","8 - 10 years",538000
"Hr Bunited Statesiness Partner ","8 - 10 years",420000
"Hr Coordinator","8 - 10 years",208600
"Hr Data Analyst","8 - 10 years",55680
"Hr Director","8 - 10 years",327000
"Hr Generalist","8 - 10 years",486600
"Hr Generalist ","8 - 10 years",59000
"Hr M&A","8 - 10 years",180000
"Hr Manager","8 - 10 years",1824500
"Hr Officer, Systems And Reporting","8 - 10 years",64304
"Hr Representative ","8 - 10 years",60000
"Hr Specialist","8 - 10 years",377036
"Hr Specialist ","8 - 10 years",61800
"Hr Specialist Ii","8 - 10 years",36400
Hrbp,"8 - 10 years",450000
"Hrbp / Hris Admin","8 - 10 years",66000
Hris,"8 - 10 years",52000
"Hris Analyst","8 - 10 years",49900
"Human Factors Engineer","8 - 10 years",206000
"Human Resource Generalist","8 - 10 years",50000
"Human Resources ","8 - 10 years",37900
"Human Resources Administrator","8 - 10 years",58000
"Human Resources Advisor","8 - 10 years",170000
"Human Resources Assistant","8 - 10 years",29998
"Human Resources Associate","8 - 10 years",77633
"Human Resources Bunited Statesiness Partner","8 - 10 years",424000
"Human Resources Director","8 - 10 years",202000
"Human Resources Generalist","8 - 10 years",345891
"Human Resources Manager","8 - 10 years",374500
"Human Resources Representative","8 - 10 years",43829
"Human Resources: Talent And Learning","8 - 10 years",197000
Hydrogeologist,"8 - 10 years",160400
"Immigration Caseworker","8 - 10 years",22800
"Impact And Performance Manager","8 - 10 years",43000
"Implementation Consultant","8 - 10 years",200000
"Implementation Manager","8 - 10 years",657000
"Import Coordinator","8 - 10 years",47000
"Import Trade Compliance","8 - 10 years",340000
"Inclunited Statesion Facilitator","8 - 10 years",75000
"Infection Preventionist","8 - 10 years",222000
"Influencer Marketing Manager","8 - 10 years",480000
"Informatics Section Manager","8 - 10 years",215000
"Information And Program Manager","8 - 10 years",75000
"Information Architect","8 - 10 years",312000
"Information Manager","8 - 10 years",35000
"Information Professional (Librarian)","8 - 10 years",38000
"Information Security Architect","8 - 10 years",237000
"Information Systems Admin","8 - 10 years",57000
"Information Systems Analyst","8 - 10 years",65000
"Infrastructure Engineer","8 - 10 years",195800
"Inside Sales","8 - 10 years",44000
"Inside Sales Engineer","8 - 10 years",70000
"Insight And Engagement Officer","8 - 10 years",26000
"Insolvency Officer","8 - 10 years",26200
"Instructional Design Consultant ","8 - 10 years",81000
"Instructional Designer","8 - 10 years",1060312
"Instructional Designer/Lms Admin","8 - 10 years",70300
"Instructional Systems Specialist","8 - 10 years",202720
"Instructor/Assistant Director","8 - 10 years",41000
Instructor/Operator,"8 - 10 years",55000
"Instrument Specialist Engineer","8 - 10 years",35000
"Intake Admin Assistant","8 - 10 years",35000
"Intake Officer","8 - 10 years",70000
"Integrated Campaign Manager","8 - 10 years",174000
"Interior Designer","8 - 10 years",160500
"Interior Horticultural Technician ","8 - 10 years",33000
"Internal Auditor","8 - 10 years",71500
"Internal Communications Manager ","8 - 10 years",53000
"International Cunited Statestomer Service","8 - 10 years",42000
"International Relations Specialist","8 - 10 years",180612
"Internship Program Coordinator","8 - 10 years",45777
Interpreter,"8 - 10 years",1830000
"Inventory Analyst","8 - 10 years",37000
"Inventory Control Analyst","8 - 10 years",56200
"Inventory Manager","8 - 10 years",34320
"Investment Administrator","8 - 10 years",28000
"Investment Banker","8 - 10 years",520000
"Investment Operations Specialist","8 - 10 years",63000
"Ios Developer","8 - 10 years",240000
"Ip Assistant Clerk ","8 - 10 years",38200
"Ip Paralegal","8 - 10 years",162000
"Ip Paralegal/Technical Librarian","8 - 10 years",153994
"Irb Administrator ","8 - 10 years",64000
"Issue Advocacy Manager","8 - 10 years",36360
"It Admin","8 - 10 years",30000
"It Bunited Statesiness Analyst","8 - 10 years",160000
"It Bunited Statesiness Consultant","8 - 10 years",204000
"It Director","8 - 10 years",528000
"It Manager","8 - 10 years",260000
"It Manager, Service Desk And Deskside Support","8 - 10 years",254000
"It Project Manager","8 - 10 years",464500
"It Recruiter","8 - 10 years",190000
"It Security Manager","8 - 10 years",274000
"It Specialist","8 - 10 years",160000
"It Specialist (Sys Admin)","8 - 10 years",160000
"It Support Engineer I","8 - 10 years",74500
"It Support Technician","8 - 10 years",43000
"Japanese To English Translator","8 - 10 years",7200000
Journalist,"8 - 10 years",50000
"Jr Qa Analyst","8 - 10 years",74000
"Junior Accountant","8 - 10 years",40000
"Junior Project Manager ","8 - 10 years",67160
"Kitchen Manager","8 - 10 years",30000
"Knowledge Manager","8 - 10 years",66000
"Lab Manager","8 - 10 years",160000
"Lab Tech","8 - 10 years",40000
"Laboratory Analyst Iii","8 - 10 years",63320
"Labour Relations Officer","8 - 10 years",73320
Labourer/Carpenter,"8 - 10 years",44580
"Landscape Designer","8 - 10 years",48850
"Landscape Lighting Installer/General Laborer","8 - 10 years",36480
"Laundry Attendant","8 - 10 years",416480
Lawyer,"8 - 10 years",370000
"Lawyer / Public Servant","8 - 10 years",236000
Lead,"8 - 10 years",5200000
"Lead Administrator","8 - 10 years",27000
"Lead Analyst ","8 - 10 years",680000
"Lead Data Strategist","8 - 10 years",222000
"Lead Foster Technician","8 - 10 years",34000
"Lead Functional Analyst ","8 - 10 years",185340
"Lead Gift Analyst","8 - 10 years",150600
