"Job Title",experience_years,total_compensation
"Associate Attorney","8 - 10 years",1530900
"Associate Attorney ","8 - 10 years",1055000
"Associate Brand Director","8 - 10 years",380000
"Associate Brand Manager","8 - 10 years",238000
"Associate Bunited Statesiness Development","8 - 10 years",72475
"Associate Capital Program Analyst","8 - 10 years",161400
"Associate Chairperson","8 - 10 years",778000
"Associate Consultant","8 - 10 years",228000
"Associate Counsel","8 - 10 years",363830
"Associate Data Analyst","8 - 10 years",64500
"Associate Director","8 - 10 years",1439838
"Associate Director ","8 - 10 years",290000
"Associate Director - Financial Operations ","8 - 10 years",182000
"Associate Director Hr","8 - 10 years",195000
"Associate Director Of Admissions ","8 - 10 years",74000
"Associate Director Of Analytics","8 - 10 years",220000
"Associate Director Of Annual Giving","8 - 10 years",113000
"Associate Director Of Development","8 - 10 years",72000
"Associate Director Of Evaluation","8 - 10 years",65400
"Associate Director Of Grants And Proposals","8 - 10 years",52500
"Associate Director Of Marketing","8 - 10 years",258000
"Associate Director Of Undergraduate Admissions","8 - 10 years",74000
"Associate Director, Culture And Talent","8 - 10 years",174000
"Associate Director, Finance Operations","8 - 10 years",240000
"Associate Distribution Designer","8 - 10 years",49500
"Associate Editor","8 - 10 years",81200
"Associate Events Manager","8 - 10 years",42460
"Associate General Counsel","8 - 10 years",470000
"Associate Lawyer","8 - 10 years",615800
"Associate Learning Designer","8 - 10 years",34000
"Associate Marketing Manager ","8 - 10 years",255200
"Associate Product Manager","8 - 10 years",387000
"Associate Professor","8 - 10 years",374000
"Associate Professor (Tenured)","8 - 10 years",36000
"Associate Project Manager ","8 - 10 years",80000
"Associate Publisher","8 - 10 years",60000
"Associate Publishing Manager","8 - 10 years",61500
"Associate Scientist ","8 - 10 years",47000
"Associate Software Engineer","8 - 10 years",72500
"Associate Technical Account Manager","8 - 10 years",300000
"Associate Tutor","8 - 10 years",50000
"Associate Vp","8 - 10 years",340000
"Association Manager","8 - 10 years",40000
"Asst. Office Manager","8 - 10 years",52500
"Asst. Social Media Manager","8 - 10 years",71000
"Athletic Trainer","8 - 10 years",34500
Attorney,"8 - 10 years",2116000
"Attorney ","8 - 10 years",1286000
"Attorney Advisor","8 - 10 years",297000
"Attorney Recruiting Coordinator ","8 - 10 years",60000
"Audio Editor","8 - 10 years",194000
"Audit Trainee","8 - 10 years",23000
Auditor,"8 - 10 years",30
"Auditor Iii","8 - 10 years",161000
"Automated Tester","8 - 10 years",31700
"Automation Engineer","8 - 10 years",70000
"Automotive Sales ","8 - 10 years",62000
"Automotive Technician ","8 - 10 years",160000
"Avp, Unit Manager, Communications","8 - 10 years",338000
"Aws Solutions Architect","8 - 10 years",450000
"Backend Engineer","8 - 10 years",270000
Baker,"8 - 10 years",35600
Banker,"8 - 10 years",34320
"Bar Staff","8 - 10 years",18532
Barista,"8 - 10 years",21000
Bcba/Lba,"8 - 10 years",160000
"Beamline Scientist","8 - 10 years",40295
"Behavior Specialist","8 - 10 years",46480
"Benefits Administrator","8 - 10 years",51000
"Benefits Advisor","8 - 10 years",58000
"Benefits Operations Analyst","8 - 10 years",66500
"Benefits Program Manager","8 - 10 years",174000
"Benefits Specialist","8 - 10 years",73000
"Beverage Manager","8 - 10 years",63500
"Bi Analyst","8 - 10 years",160000
"Bid Manager","8 - 10 years",110000
